,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,4.590332317352295,0.23454105630252461,0.31742167472839355,0.027285804012934463,0.01,10,"{'learning_rate': 0.01, 'n_estimators': 10}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6069897959183673,0.6128061224489796,0.6078815913182272,0.002829643195523434,78
1,8.856286001205444,0.08677319756139633,0.6179349899291993,0.033758098055157996,0.01,20,"{'learning_rate': 0.01, 'n_estimators': 20}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6069897959183673,0.6128061224489796,0.6078815913182272,0.002829643195523434,78
2,13.204929161071778,0.13452684518922342,0.895482063293457,0.036326843134346684,0.01,30,"{'learning_rate': 0.01, 'n_estimators': 30}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6069897959183673,0.6128061224489796,0.6078815913182272,0.002829643195523434,78
3,17.120827388763427,0.18128780141549122,1.1291173458099366,0.043748114424055004,0.01,40,"{'learning_rate': 0.01, 'n_estimators': 40}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6069897959183673,0.6128061224489796,0.6078815913182272,0.002829643195523434,78
4,21.26876711845398,0.13026398971471181,1.3947653770446777,0.06149301009601946,0.01,50,"{'learning_rate': 0.01, 'n_estimators': 50}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6069897959183673,0.6128061224489796,0.6078815913182272,0.002829643195523434,78
5,31.32141833305359,0.03697377222543,2.0470817565917967,0.03363284020002604,0.01,75,"{'learning_rate': 0.01, 'n_estimators': 75}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6069897959183673,0.6128061224489796,0.6078815913182272,0.002829643195523434,78
6,41.57547373771668,0.14962182119700587,2.6809298515319826,0.031599595669498486,0.01,100,"{'learning_rate': 0.01, 'n_estimators': 100}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6069897959183673,0.6128061224489796,0.6078815913182272,0.002829643195523434,78
7,61.85504174232483,0.0735092168519023,3.986329936981201,0.011641371674810549,0.01,150,"{'learning_rate': 0.01, 'n_estimators': 150}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6069897959183673,0.6128061224489796,0.6078815913182272,0.002829643195523434,78
8,82.30768170356751,0.7167506377568219,5.228213930130005,0.06729427703758975,0.01,200,"{'learning_rate': 0.01, 'n_estimators': 200}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6076530612244898,0.6128061224489796,0.6080142443794516,0.0028001194926335414,76
9,103.96271786689758,0.22484865363805334,6.727593564987183,0.11584703747329612,0.01,250,"{'learning_rate': 0.01, 'n_estimators': 250}",0.6045609917861333,0.6084183673469388,0.6086734693877551,0.6087755102040816,0.6143367346938775,0.6089530146837572,0.0031199297257538065,69
10,4.607397794723511,0.02601543157837711,0.31132144927978517,0.004938577796205641,0.05,10,"{'learning_rate': 0.05, 'n_estimators': 10}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6051020408163266,0.6128061224489796,0.6075040402978191,0.003041456268375692,89
11,8.708110666275024,0.10464061079102009,0.5795547962188721,0.0060061045152995495,0.05,20,"{'learning_rate': 0.05, 'n_estimators': 20}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6051020408163266,0.6128061224489796,0.6075040402978191,0.003041456268375692,89
12,12.860788011550904,0.09027222202564376,0.842584753036499,0.0038727261980562927,0.05,30,"{'learning_rate': 0.05, 'n_estimators': 30}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6051020408163266,0.6128061224489796,0.6075040402978191,0.003041456268375692,89
13,16.998292255401612,0.04685134204278688,1.1101126194000244,0.008280934677035215,0.05,40,"{'learning_rate': 0.05, 'n_estimators': 40}",0.6040508137339932,0.6073979591836735,0.6081632653061224,0.6076530612244898,0.6128061224489796,0.6080142443794516,0.0028001194926335414,76
14,21.14712462425232,0.10277855274894407,1.3795403480529784,0.02371996543154045,0.05,50,"{'learning_rate': 0.05, 'n_estimators': 50}",0.6046120095913474,0.6085714285714285,0.6086734693877551,0.6087755102040816,0.6134183673469388,0.6088101570203104,0.0027905884480813993,71
15,31.47083716392517,0.07617810206675796,2.0672110080718995,0.039820763537539744,0.05,75,"{'learning_rate': 0.05, 'n_estimators': 75}",0.6068057752155502,0.6102551020408163,0.6103061224489796,0.6096938775510204,0.6153571428571428,0.610483604022702,0.0027562723475857546,58
16,42.22665400505066,0.17937038448612072,2.7936661720275877,0.09958223343374266,0.05,100,"{'learning_rate': 0.05, 'n_estimators': 100}",0.6074179888781185,0.6104081632653061,0.6126530612244898,0.6102551020408163,0.6165816326530612,0.6114631896123583,0.003051244295957281,47
17,63.03485560417175,0.19718891984297673,4.184468173980713,0.06829682393516107,0.05,150,"{'learning_rate': 0.05, 'n_estimators': 150}",0.6080812203459007,0.6111224489795918,0.6137244897959183,0.6109183673469388,0.617295918367347,0.6122284889671394,0.003100207713566225,33
18,83.3409405708313,0.8572512734517362,5.4340348720550535,0.13060234309213276,0.05,200,"{'learning_rate': 0.05, 'n_estimators': 200}",0.6076730779041886,0.6112755102040817,0.6145918367346939,0.6114795918367347,0.6168367346938776,0.6123713502747152,0.003128580507821912,30
19,102.1449719429016,0.3061131098753503,6.466277599334717,0.03147253766795099,0.05,250,"{'learning_rate': 0.05, 'n_estimators': 250}",0.6085403805928269,0.6111734693877551,0.6157142857142858,0.611938775510204,0.6179081632653062,0.6130550148940755,0.00334044599228521,22
