round_epochs,loss,recall,val_loss,val_recall,activation1,activation2,dropout,nodes1,optimizer
10,0.005704697221517563,0.5312055349349976,0.0004857196472585201,0.5471890568733215,relu,relu,0.1,100,adam
10,0.07723434269428253,0.0,0.04869066923856735,0.0,relu,relu,0.1,100,sgd
10,0.006154780276119709,0.7188313603401184,0.0004160613170824945,0.7297330498695374,relu,relu,0.1,500,adam
10,0.06180701404809952,0.0,0.051625046879053116,0.0,relu,relu,0.1,500,sgd
10,0.008973048999905586,0.7243946194648743,8.553851512260735e-05,0.7357388734817505,relu,relu,0.1,1000,adam
10,0.06604268401861191,0.0,0.04415461793541908,0.0,relu,relu,0.1,1000,sgd
10,0.020223872736096382,0.516186535358429,0.00032895861659199,0.5315371155738831,relu,relu,0.3,100,adam
10,0.05776321887969971,0.0,0.03976937010884285,0.0,relu,relu,0.3,100,sgd
10,0.011507448740303516,0.7442182302474976,2.4376489818678237e-05,0.7537566423416138,relu,relu,0.3,500,adam
10,0.07169236242771149,0.0063170273788273335,0.04771212115883827,0.006005935836583376,relu,relu,0.3,500,sgd
10,0.005729100201278925,0.6990306377410889,0.00022777619597036391,0.7117151021957397,relu,relu,0.3,1000,adam
10,0.06881286948919296,0.0,0.04258713871240616,0.0,relu,relu,0.3,1000,sgd
10,0.0133517412468791,0.3504125773906708,0.0007942522643133998,0.3670109808444977,relu,relu,0.5,100,adam
10,0.08610190451145172,0.0,0.04967746511101723,0.0,relu,relu,0.5,100,sgd
10,0.010523641481995583,0.6177980899810791,0.00021158711751922965,0.6276320219039917,relu,relu,0.5,500,adam
10,0.0687970370054245,0.0,0.05122213810682297,0.0,relu,relu,0.5,500,sgd
10,0.011976886540651321,0.6280215978622437,4.829824320040643e-05,0.6396438479423523,relu,relu,0.5,1000,adam
10,0.06471887230873108,0.006421819794923067,0.05802622810006142,0.006005935836583376,relu,relu,0.5,1000,sgd
10,0.0032183511648327112,0.4817185401916504,0.0004921681247651577,0.5015073418617249,relu,tanh,0.1,100,adam
10,0.014864388853311539,0.01897014118731022,0.015025747008621693,0.018017804250121117,relu,tanh,0.1,100,sgd
10,0.0024071058724075556,0.6479325294494629,0.0007167391013354063,0.6516557335853577,relu,tanh,0.1,500,adam
10,0.01978958770632744,0.0,0.022957295179367065,0.0,relu,tanh,0.1,500,sgd
10,0.0022175984922796488,0.6415030360221863,0.0006302148685790598,0.6456496715545654,relu,tanh,0.1,1000,adam
10,0.02062477543950081,0.0,0.02031487599015236,0.0,relu,tanh,0.1,1000,sgd
10,0.004017567727714777,0.35373714566230774,0.0002769894781522453,0.3633708357810974,relu,tanh,0.3,100,adam
10,0.017432456836104393,0.0,0.02152845822274685,0.0,relu,tanh,0.3,100,sgd
10,0.002504937816411257,0.6401322484016418,9.960256284102798e-05,0.6516557335853577,relu,tanh,0.3,500,adam
10,0.01852426864206791,0.0,0.019760828465223312,0.0,relu,tanh,0.3,500,sgd
10,0.002252215053886175,0.6328702569007874,2.6607714971760288e-05,0.6456496715545654,relu,tanh,0.3,1000,adam
10,0.021534388884902,0.0,0.023251868784427643,0.0,relu,tanh,0.3,1000,sgd
10,0.00444017443805933,0.2747912108898163,0.00039352598832920194,0.2912995517253876,relu,tanh,0.5,100,adam
10,0.017927607521414757,0.018905656412243843,0.019152747467160225,0.018017804250121117,relu,tanh,0.5,100,sgd
10,0.0033111395314335823,0.600609540939331,9.266423876397312e-05,0.6096142530441284,relu,tanh,0.5,500,adam
10,0.018461929634213448,0.0,0.022216664627194405,0.0,relu,tanh,0.5,500,sgd
10,0.0030874803196638823,0.5789126753807068,8.309465192724019e-05,0.5915964245796204,relu,tanh,0.5,1000,adam
10,0.02019919641315937,0.0063218590803444386,0.022162960842251778,0.006005935836583376,relu,tanh,0.5,1000,sgd
10,0.002797901164740324,0.5824089050292969,0.001448938506655395,0.5842167735099792,tanh,relu,0.1,100,adam
10,0.021423831582069397,0.0,0.020059915259480476,0.0,tanh,relu,0.1,100,sgd
10,0.0009921770542860031,0.6949726939201355,0.00045363450772129,0.7057093381881714,tanh,relu,0.1,500,adam
10,0.02088266797363758,0.0,0.01809527724981308,0.0,tanh,relu,0.1,500,sgd
10,0.0008213143446482718,0.7983700633049011,0.0005524839507415891,0.8018039464950562,tanh,relu,0.1,1000,adam
10,0.02350754477083683,0.006317246239632368,0.019386036321520805,0.006005935836583376,tanh,relu,0.1,1000,sgd
10,0.004592930432409048,0.44387009739875793,0.0014536053640767932,0.45809206366539,tanh,relu,0.3,100,adam
10,0.020012717694044113,0.0,0.02094775252044201,0.0,tanh,relu,0.3,100,sgd
10,0.002014775760471821,0.702548086643219,0.0008001893293112516,0.7177210450172424,tanh,relu,0.3,500,adam
10,0.020947808399796486,0.0,0.019742749631404877,0.0,tanh,relu,0.3,500,sgd
10,0.002038596896454692,0.7129380106925964,0.001012187683954835,0.7237271070480347,tanh,relu,0.3,1000,adam
10,0.023151079192757607,0.0,0.020520322024822235,0.0,tanh,relu,0.3,1000,sgd
10,0.006298701278865337,0.42217960953712463,0.0018220769707113504,0.42806240916252136,tanh,relu,0.5,100,adam
10,0.019458221271634102,0.012745603919029236,0.019700154662132263,0.012011871673166752,tanh,relu,0.5,100,sgd
10,0.0025733979418873787,0.6027204394340515,0.0004935084143653512,0.6156200170516968,tanh,relu,0.5,500,adam
10,0.022989634424448013,0.0,0.024561993777751923,0.0,tanh,relu,0.5,500,sgd
10,0.002243711845949292,0.6412456035614014,0.0006394016090780497,0.6562879085540771,tanh,relu,0.5,1000,adam
10,0.023609759286046028,0.0,0.02298302948474884,0.0,tanh,relu,0.5,1000,sgd
10,0.003752143122255802,0.5419326424598694,0.0020812558941543102,0.5481812357902527,tanh,tanh,0.1,100,adam
10,0.020847517997026443,0.04002184048295021,0.01921352930366993,0.04204154387116432,tanh,tanh,0.1,100,sgd
10,0.003034306922927499,0.6097079515457153,0.0007089052232913673,0.6202523112297058,tanh,tanh,0.1,500,adam
10,0.01878361962735653,0.2980686128139496,0.013998961076140404,0.3010328710079193,tanh,tanh,0.1,500,sgd
10,0.004557239357382059,0.6061879396438599,0.004693272523581982,0.6082404851913452,tanh,tanh,0.1,1000,adam
