,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_knn__n_neighbors,param_knn__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.3978878974914551,0.008480186271530629,1.8743922710418701,0.0731971649093113,1,uniform,"{'knn__n_neighbors': 1, 'knn__weights': 'uniform'}",0.49506726457399103,0.46502242152466366,0.4766816143497758,0.48789237668161434,0.47085201793721976,0.4791031390134529,0.01099377450569735,1
1,0.3960237503051758,0.0072393218121099305,1.7796147346496582,0.020978749750510364,1,distance,"{'knn__n_neighbors': 1, 'knn__weights': 'distance'}",0.49506726457399103,0.46502242152466366,0.4766816143497758,0.48789237668161434,0.47085201793721976,0.4791031390134529,0.01099377450569735,1
2,0.40747604370117185,0.005365554273009997,2.079752731323242,0.03469459741084038,3,uniform,"{'knn__n_neighbors': 3, 'knn__weights': 'uniform'}",0.45426008968609866,0.4479820627802691,0.43452914798206277,0.4618834080717489,0.45201793721973094,0.450134529147982,0.009019586071228434,4
3,0.403245735168457,0.00622166031540363,1.948995304107666,0.018300820621256705,3,distance,"{'knn__n_neighbors': 3, 'knn__weights': 'distance'}",0.4587443946188341,0.44708520179372196,0.4349775784753363,0.46278026905829595,0.457847533632287,0.452286995515695,0.01009357174805986,3
4,0.39281506538391114,0.005076681150270865,2.7794651985168457,0.03022386893341436,5,uniform,"{'knn__n_neighbors': 5, 'knn__weights': 'uniform'}",0.426457399103139,0.4170403587443946,0.44349775784753365,0.4565022421524664,0.4224215246636771,0.4331838565022421,0.014641101091761902,6
5,0.39230499267578123,0.012816204829204245,2.614382839202881,0.04565019450450078,5,distance,"{'knn__n_neighbors': 5, 'knn__weights': 'distance'}",0.4390134529147982,0.4228699551569507,0.4443946188340807,0.45964125560538116,0.4327354260089686,0.43973094170403587,0.012263077765120865,5
6,0.3893857955932617,0.012855786307722874,2.707286739349365,0.024852525563640447,10,uniform,"{'knn__n_neighbors': 10, 'knn__weights': 'uniform'}",0.28161434977578476,0.27802690582959644,0.31390134529147984,0.2825112107623318,0.27309417040358747,0.285829596412556,0.014421346182774374,13
7,0.3931878089904785,0.01605070867525798,2.6339479446411134,0.03367501111465959,10,distance,"{'knn__n_neighbors': 10, 'knn__weights': 'distance'}",0.4246636771300448,0.4098654708520179,0.43632286995515696,0.4260089686098655,0.4139013452914798,0.422152466367713,0.009391809034312755,7
8,0.3889028549194336,0.014487414014011815,2.782749652862549,0.03452538498329827,15,uniform,"{'knn__n_neighbors': 15, 'knn__weights': 'uniform'}",0.36591928251121075,0.36278026905829597,0.4116591928251121,0.37847533632286995,0.3439461883408072,0.3725560538116592,0.022459877511917744,9
9,0.4030932426452637,0.01750678460367709,2.6452496528625487,0.03730572918005662,15,distance,"{'knn__n_neighbors': 15, 'knn__weights': 'distance'}",0.3852017937219731,0.3780269058295964,0.41524663677130047,0.39865470852017937,0.3744394618834081,0.39031390134529154,0.01496871465113906,8
10,0.38657708168029786,0.008538990690257545,2.723974514007568,0.018261124683408715,20,uniform,"{'knn__n_neighbors': 20, 'knn__weights': 'uniform'}",0.26188340807174887,0.28161434977578476,0.29596412556053814,0.27623318385650225,0.2623318385650224,0.27560538116591926,0.01277074619646822,14
11,0.39136309623718263,0.010300060897079424,2.649854373931885,0.0518340256750779,20,distance,"{'knn__n_neighbors': 20, 'knn__weights': 'distance'}",0.3717488789237668,0.368609865470852,0.3919282511210762,0.37130044843049326,0.35874439461883406,0.37246636771300445,0.010805593170819035,10
12,0.38455638885498045,0.009476965012071693,2.706271839141846,0.024090468022972156,30,uniform,"{'knn__n_neighbors': 30, 'knn__weights': 'uniform'}",0.2399103139013453,0.25964125560538115,0.2932735426008969,0.2569506726457399,0.25112107623318386,0.2601793721973094,0.017881977714679014,15
13,0.3938418388366699,0.008351122827640896,2.705105924606323,0.05515423374289416,30,distance,"{'knn__n_neighbors': 30, 'knn__weights': 'distance'}",0.3349775784753363,0.331390134529148,0.36367713004484303,0.3417040358744395,0.3376681614349776,0.3418834080717489,0.011406717916114533,11
14,0.3947859287261963,0.015995533648898483,2.702726364135742,0.03853617349363917,50,uniform,"{'knn__n_neighbors': 50, 'knn__weights': 'uniform'}",0.2147982062780269,0.23632286995515694,0.242152466367713,0.24349775784753364,0.25112107623318386,0.2375784753363229,0.01232784280964024,16
15,0.3852707386016846,0.010092247554260397,2.5994367599487305,0.022083013861546087,50,distance,"{'knn__n_neighbors': 50, 'knn__weights': 'distance'}",0.2874439461883408,0.2946188340807175,0.31031390134529147,0.3071748878923767,0.30807174887892375,0.30152466367713004,0.008921851203907363,12
