,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.8644439697265625,0.15585377588709196,0.14637794494628906,0.03623937782862759,0.1,linear,"{'svm__C': 0.1, 'svm__kernel': 'linear'}",0.4889867841409692,0.4977973568281938,0.5462555066079295,0.5265486725663717,0.42920353982300885,0.49775837199329465,0.039893760815652886,4
1,1.1787829399108887,0.061228421320320914,0.5025449752807617,0.07545078903734778,0.1,rbf,"{'svm__C': 0.1, 'svm__kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
2,1.1769464492797852,0.16294625003235727,0.2324676036834717,0.037233631544056546,0.1,sigmoid,"{'svm__C': 0.1, 'svm__kernel': 'sigmoid'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
3,6.461989259719848,2.15909272404801,0.11545658111572266,0.0050830343827325914,0.5,linear,"{'svm__C': 0.5, 'svm__kernel': 'linear'}",0.4713656387665198,0.5154185022026432,0.5506607929515418,0.5398230088495575,0.4336283185840708,0.5021792522708666,0.04379840001965935,1
4,0.8916252613067627,0.02381837595781317,0.36106858253479,0.01590008106771653,0.5,rbf,"{'svm__C': 0.5, 'svm__kernel': 'rbf'}",0.13215859030837004,0.15859030837004406,0.14537444933920704,0.2168141592920354,0.12389380530973451,0.15536626252387822,0.03290953184815678,13
5,0.819624662399292,0.012843936733106309,0.17768507003784179,0.012914229988082051,0.5,sigmoid,"{'svm__C': 0.5, 'svm__kernel': 'sigmoid'}",0.30837004405286345,0.3303964757709251,0.28634361233480177,0.35398230088495575,0.3230088495575221,0.32042025652021366,0.02253469274624987,12
6,12.380290651321411,2.1645954753598233,0.11932139396667481,0.012114263150865346,1,linear,"{'svm__C': 1, 'svm__kernel': 'linear'}",0.47577092511013214,0.5110132158590308,0.5506607929515418,0.5353982300884956,0.4336283185840708,0.5012942965186542,0.04224858271241793,2
7,1.1281561374664306,0.1722804632749851,0.40559978485107423,0.04598907556871916,1,rbf,"{'svm__C': 1, 'svm__kernel': 'rbf'}",0.3568281938325991,0.34801762114537443,0.3964757709251101,0.4336283185840708,0.336283185840708,0.37424661806557247,0.035924658834323775,11
8,1.1156205177307128,0.06027089633819332,0.21392579078674318,0.011820921490754657,1,sigmoid,"{'svm__C': 1, 'svm__kernel': 'sigmoid'}",0.3788546255506608,0.4185022026431718,0.43612334801762115,0.47345132743362833,0.39823008849557523,0.42103231842813144,0.03249859268164675,10
9,185.58585228919983,82.18552624066473,0.11850247383117676,0.01735642621336274,10,linear,"{'svm__C': 10, 'svm__kernel': 'linear'}",0.46255506607929514,0.4977973568281938,0.5462555066079295,0.5309734513274337,0.4336283185840708,0.4942419398853846,0.041821824696006156,6
10,1.3757461547851562,0.14731575596421548,0.5073874473571778,0.046422794484201405,10,rbf,"{'svm__C': 10, 'svm__kernel': 'rbf'}",0.4581497797356828,0.42731277533039647,0.5330396475770925,0.4911504424778761,0.4247787610619469,0.4668862812365989,0.040940076898718036,9
11,1.0423376083374023,0.20183713381677326,0.1727456569671631,0.03944072183587886,10,sigmoid,"{'svm__C': 10, 'svm__kernel': 'sigmoid'}",0.45374449339207046,0.4713656387665198,0.5066079295154186,0.5176991150442478,0.42035398230088494,0.4739542318038283,0.03540621378040898,7
12,1843.0473963260652,1008.1782641207911,0.1814574718475342,0.07259603206194623,100,linear,"{'svm__C': 100, 'svm__kernel': 'linear'}",0.46255506607929514,0.4977973568281938,0.5550660792951542,0.5309734513274337,0.4336283185840708,0.49600405442282947,0.04409980652574436,5
13,1.9420697212219238,0.026063482629665166,0.5640024185180664,0.006273471696220692,100,rbf,"{'svm__C': 100, 'svm__kernel': 'rbf'}",0.44493392070484583,0.42731277533039647,0.5462555066079295,0.48672566371681414,0.43805309734513276,0.46865619274102377,0.04371895034311159,8
14,1.5652342319488526,0.03959095727788847,0.18880457878112794,0.007415676636651017,100,sigmoid,"{'svm__C': 100, 'svm__kernel': 'sigmoid'}",0.47577092511013214,0.45374449339207046,0.5418502202643172,0.5707964601769911,0.46017699115044247,0.5004678180187907,0.047063738560971985,3
