round_epochs,loss,accuracy,val_loss,val_accuracy,activation1,activation2,dropout,nodes1,optimizer
10,0.6495367884635925,0.6182798743247986,0.661323606967926,0.6112717390060425,relu,relu,0.1,100,adam
10,0.6894482970237732,0.5441836714744568,0.6883611679077148,0.5421584248542786,relu,relu,0.1,100,sgd
10,0.6448596119880676,0.6248396635055542,0.6611493229866028,0.6099452376365662,relu,relu,0.1,500,adam
10,0.6761077642440796,0.5837609171867371,0.6771119832992554,0.5844358801841736,relu,relu,0.1,500,sgd
10,0.6427050828933716,0.6264140009880066,0.668644905090332,0.6107955574989319,relu,relu,0.1,1000,adam
10,0.6835940480232239,0.558760941028595,0.6813504695892334,0.5502874255180359,relu,relu,0.1,1000,sgd
10,0.6562883257865906,0.6130757927894592,0.6632539629936218,0.6133464574813843,relu,relu,0.3,100,adam
10,0.685225248336792,0.5547376275062561,0.677461564540863,0.5815108418464661,relu,relu,0.3,100,sgd
10,0.653095006942749,0.6171137094497681,0.6579694747924805,0.6138226389884949,relu,relu,0.3,500,adam
10,0.6817766427993774,0.5650874376296997,0.7041926980018616,0.5059011578559875,relu,relu,0.3,500,sgd
10,0.6527698040008545,0.6165743470191956,0.658856213092804,0.6133464574813843,relu,relu,0.3,1000,adam
10,0.6785088181495667,0.5765743255615234,0.6752894520759583,0.5796401500701904,relu,relu,0.3,1000,sgd
10,0.6630505323410034,0.6050437092781067,0.659974217414856,0.6100132465362549,relu,relu,0.5,100,adam
10,0.6860673427581787,0.5503790378570557,0.6855517029762268,0.5496071577072144,relu,relu,0.5,100,sgd
10,0.6600390672683716,0.6101020574569702,0.6627376675605774,0.6075303554534912,relu,relu,0.5,500,adam
10,0.6866839528083801,0.5479592084884644,0.6863763928413391,0.5474643707275391,relu,relu,0.5,500,sgd
10,0.6583940982818604,0.6126676201820374,0.6548634767532349,0.6162035465240479,relu,relu,0.5,1000,adam
10,0.6840774416923523,0.5602623820304871,0.6828566789627075,0.5562055706977844,relu,relu,0.5,1000,sgd
10,0.6507809162139893,0.619868814945221,0.6621575951576233,0.6099452376365662,relu,tanh,0.1,100,adam
10,0.675306499004364,0.5845772624015808,0.6795467138290405,0.5558314323425293,relu,tanh,0.1,100,sgd
10,0.6588879227638245,0.6082215905189514,0.6627934575080872,0.6041631102561951,relu,tanh,0.1,500,adam
10,0.6844432950019836,0.563906729221344,0.6851456761360168,0.5355940461158752,relu,tanh,0.1,500,sgd
10,0.6740793585777283,0.5888046622276306,0.6734210848808289,0.6139246821403503,relu,tanh,0.1,1000,adam
10,0.7077065110206604,0.548527717590332,0.6940258741378784,0.5607632398605347,relu,tanh,0.1,1000,sgd
10,0.6570054888725281,0.6154518723487854,0.6571641564369202,0.6154212355613708,relu,tanh,0.3,100,adam
